Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Gm4884,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm9244,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Or51a10,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Ccdc158,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Or5a3,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Or8c9,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm5434,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Tssk5,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Vmn1r210,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm382,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Smim45,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Ccdc190,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Or13p8,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Klf14,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Smok2a,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Or8i2,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Cyp11b1,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm9006,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Cct3-ps1,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Nlrp1c-ps,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm7389,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm8604,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm42911,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm43456,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm53051,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm21037,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm5653,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm47985,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm4240,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Vmn1r21,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Spn-ps,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Gm52952,11.817114460432407,9.175775840238746,3.9426126403997115,3.983196910015301e-4,0.0016992591900125064,TRUE
Hrc,25.970093762795077,9.174413127017653,1.8773912413219138,3.4033672192674775e-7,3.9201296140854004e-06,TRUE
Slc9a2,27.482124007633683,9.174173252216352,2.0778827602555445,2.4553541248723616e-6,2.2028441728197253e-5,TRUE
Or5j1,15.208506161199582,9.16918418638602,3.3926776012569912,6.264574477745017e-5,3.538857709156774e-4,TRUE
Gm12607,21.28073711535049,9.1669357390704,3.423445417464345,4.795541157846718e-5,2.815443565692201e-4,TRUE
Cpn2,26.021778663711025,9.165415103912547,1.8849594627875088,3.7741668838632125e-7,4.301065406116354e-6,TRUE
Nlgn1,44.63968685494566,9.164792388319952,1.3484448822105648,3.285677332294843e-12,1.6913007606678424e-10,TRUE
Gm48119,8874.695342907793,9.16337133325919,1.4131214492848323,2.6351714360027194e-11,1.0445526775488556e-9,TRUE
Gm5555,14.296065692836425,9.16144953512926,3.455015923166157,7.075588581699183e-5,3.9236521655769695e-4,TRUE
Il7r,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Atp1a4,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Lin7a,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Kera,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Tpo,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Fgf10,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Atp12a,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Aqp2,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Lyzl1,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Cacna1s,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Nphs2,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
2310002L09Rik,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Tspan1,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Cd22,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Acsm5,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
